topic_title	screen_name	epoch	text	link
MB111	USATODAY	2013-03-23 04:04:10+00:00	U.N. chief warns of growing water scarcity	http://www.usatoday.com/story/news/world/2013/03/23/un-chief-water-scarcity/2012259/
MB111	USATODAY	2013-03-22 15:41:25+00:00	World Water Day highlights life-threatening shortages	http://www.usatoday.com/story/news/world/2013/03/22/world-water-day/2006027/
MB111	BBC	2013-03-03 00:23:32+00:00	Whisky industry concern over proposed water limit	http://www.bbc.co.uk/news/uk-scotland-21643567
MB111	AP	2013-02-12 05:00:00+00:00	NASA: Alarming water loss in Middle East	http://bigstory.ap.org/article/nasa-alarming-water-loss-middle-east
MB111	REUTERS	2013-02-25 21:35:57+00:00	Nestlé CEO warns water scarcity is major threat to food industry<NESN.VX>	http://www.reuters.com/article/2013/02/25/idUSnHUGPkmDna+1e4+ONE20130225
MB111	BBC	2013-03-22 02:21:09+00:00	What World Water Day means for Asia	http://www.bbc.co.uk/news/business-21890989
MB111	REUTERS	2013-03-22 18:06:30+00:00	Water as vital to national security as defense, U.N. says	http://www.reuters.com/article/2013/03/22/us-water-idUSBRE92L0XD20130322
MB111	BBC	2013-03-22 02:21:09+00:00	What World Water Day means for Asia	http://www.bbc.com/news/business-21890989
MB111	AP	2013-02-12 05:00:00+00:00	Zimbabwe faces crayfish crisis in water ecosystem	http://bigstory.ap.org/article/zimbabwe-faces-crayfish-crisis-water-ecosystem
MB111	USATODAY	2013-03-22 20:24:53+00:00	The Water Crisis featuring Matt Damon	http://www.usatoday.com/videos/life/2013/03/22/2011099/
MB112	USATODAY	2013-03-30 23:54:22+00:00	Orb roars to victory in $1M Florida Derby	http://www.usatoday.com/story/sports/horseracing/2013/03/30/florida-derby-orb-victory-kentucky-derby-prep-race/2039035/
MB112	USATODAY	2013-03-27 21:57:41+00:00	Itsmyluckyday early favorite for $1M Florida Derby	http://www.usatoday.com/story/sports/horseracing/2013/03/27/florida-derby-post-position-draw-itsmyluckyday/2026271/
MB112	USATODAY	2013-03-27 21:05:36+00:00	Undrafted owner Wes Welker draws crowd at Florida Derby	http://www.usatoday.com/story/sports/horseracing/2013/03/27/wes-welker-owner-undrafted-florida-derby-draw/2025845/
MB112	AP	2013-03-30 04:40:00+00:00	Orb wins Florida Derby at Gulfstream Park	http://bigstory.ap.org/article/orb-wins-florida-derby-gulfstream-park
MB112	AP	2013-03-29 04:00:00+00:00	Florida Derby boasts top-notch field	http://bigstory.ap.org/article/florida-derby-boasts-top-notch-field
MB112	AP	2013-03-27 20:41:00+00:00	Itsmyluckyday made 2-1 favorite for Florida Derby	http://bigstory.ap.org/article/itsmyluckyday-made-2-1-favorite-florida-derby
MB112	USATODAY	2013-02-16 22:07:44+00:00	Final results from Florida's python hunt	http://www.usatoday.com/story/news/nation/2013/02/16/python-challenge-ends/1925123/
PARSE_ERROR	AP	Central Florida working on extension for O'Leary	http://collegefootball.ap.org/herald-dispatch/article/central-florida-working-extension-oleary
MB113	USATODAY	2013-03-27 17:09:33+00:00	TV on the Web: Looking into Kal Penn's future	http://www.usatoday.com/story/life/2013/03/27/tv-on-the-web-looking-into-kal-penns-future/2022341/
MB116	REUTERS	2013-02-19 18:10:36+00:00	Security group suspects Chinese military is behind hacking attacks	http://www.reuters.com/article/2013/02/19/us-china-hacking-idUSBRE91I06120130219
MB116	AP	2013-02-25 05:00:00+00:00	Chinese hackers seen as increasingly professional	http://bigstory.ap.org/article/chinese-hackers-seen-increasingly-professional
MB116	BBC	2013-02-06 18:04:56+00:00	Rupert Murdoch tweets Chinese 'still hacking' WSJ	http://www.bbc.co.uk/news/technology-21360032
MB116	REUTERS	2013-02-19 05:58:38+00:00	RPT-Security group suspects Chinese military is behind hacking attacks	http://www.reuters.com/article/2013/02/19/china-hacking-idUSL4N0BJ1J320130219
MB116	REUTERS	2013-02-19 18:05:19+00:00	U.S. says has brought cyber-theft concerns to Chinese government	http://www.reuters.com/article/2013/02/19/china-hacking-whitehouse-idUSL1N0BJ5S020130219
MB116	REUTERS	2013-02-19 18:10:33+00:00	U.S. says has brought cyber-theft concerns to Chinese government	http://www.reuters.com/article/2013/02/19/us-china-hacking-whitehouse-idUSBRE91I10320130219
MB116	REUTERS	2013-02-19 18:10:36+00:00	Security group suspects Chinese military is behind hacking attacks	http://www.reuters.com/article/slideshow/idUSBRE91I06120130219
MB116	BBC	2013-02-06 18:04:56+00:00	Rupert Murdoch tweets Chinese 'still hacking' WSJ	http://www.bbc.com/news/technology-21360032
MB116	USATODAY	2013-02-03 23:09:43+00:00	Chinese hackers underscore security gaps	http://www.usatoday.com/story/opinion/2013/02/03/chinese-hackers-underscore-security-gaps-opinionline/1888491/
MB116	REUTERS	2013-02-05 00:00:00+00:00	Chinese hack NYTimes	http://www.reuters.com/video/2013/02/05/chinese-hack-nytimes?videoId=240887179
MB119	AP	2013-03-01 05:00:00+00:00	Buzz off: Pa. honeybee colony getting new home	http://bigstory.ap.org/article/buzz-pa-honeybee-colony-getting-new-home
MB120	REUTERS	2013-02-22 18:35:17+00:00	Sizzling prices heat up wage talks in Argentina	http://www.reuters.com/article/2013/02/22/us-argentina-unions-idUSBRE91L0SJ20130222
MB120	AP	2013-02-04 05:00:00+00:00	Argentina freezes prices to break inflation spiral	http://bigstory.ap.org/article/argentina-freezes-prices-break-inflation-spiral
MB120	REUTERS	2013-03-13 19:22:40+00:00	UPDATE 1-Argentina reports February inflation slows to 0.5 pct	http://www.reuters.com/article/2013/03/13/argentina-economy-inflation-idUSL1N0C5CKT20130313
MB120	BBC	2013-02-04 19:59:12+00:00	Argentina pegs supermarket price rises for two months	http://www.bbc.co.uk/news/business-21331052
MB120	REUTERS	2013-02-02 02:16:04+00:00	IMF reprimands Argentina for inaccurate economic data	http://www.reuters.com/article/2013/02/02/us-imf-argentina-idUSBRE91019920130202
MB120	REUTERS	2013-03-10 15:44:58+00:00	Brazil's Vale likely to cancel $5.9 bln mine in Argentina -Folha	http://www.reuters.com/article/2013/03/10/vale-argentina-riocolorado-idUSL1N0C20NW20130310
MB120	REUTERS	2013-03-16 16:29:34+00:00	Argentina's dictatorship economy chief Martinez de Hoz dies	http://www.reuters.com/article/2013/03/16/argentina-martinezdehoz-idUSL1N0BZFD520130316
MB120	REUTERS	2013-03-15 22:01:09+00:00	UPDATE 2-Argentina says GDP grew 2.1 pct in Q4 2012	http://www.reuters.com/article/2013/03/15/argentina-economy-gdp-idUSL1N0C7BNX20130315
MB120	REUTERS	2013-03-06 02:00:51+00:00	IMF, World Bank visit Argentina for financial system checkup	http://www.reuters.com/article/2013/03/06/us-imf-argentina-idUSBRE92503T20130306
MB120	REUTERS	2013-02-02 02:13:12+00:00	UPDATE 3-IMF reprimands Argentina for inaccurate economic data	http://www.reuters.com/article/2013/02/02/imf-argentina-idUSL1N0B1IKP20130202
MB123	AP	2013-03-06 05:00:00+00:00	Curiosity sleeps as solar blast races toward Mars	http://bigstory.ap.org/article/curiosity-sleeps-solar-blast-races-toward-mars
MB123	BBC	2013-02-07 02:17:28+00:00	UK 'can cope with solar superstorm'	http://www.bbc.co.uk/news/science-environment-21357909
MB123	BBC	2013-02-07 10:18:58+00:00	UK can deal with solar superstorm, experts say	http://www.bbc.co.uk/newsround/21364225
MB123	REUTERS	2013-02-20 22:23:13+00:00	Mini planet found far beyond Earth's solar system	http://uk.reuters.com/article/2013/02/20/us-space-planets-idUKBRE91J1BV20130220
MB123	REUTERS	2013-02-05 03:04:29+00:00	Australian solar consortium plans offshore sukuk	http://www.reuters.com/article/2013/02/05/islamic-sukuk-solar-idUSL5N0B10QB20130205
MB123	REUTERS	2013-02-19 13:02:07+00:00	Solar Power Looks Sunny in 2013 - Research Report on First Solar, Inc., SunPower Corporation, Trina Solar Limited, SolarCity Corp and NRG Energy Inc	http://www.reuters.com/article/2013/02/19/bc-national-traders-asso-idUSnPn2194477+100+PRN20130219
