Picked up JAVA_TOOL_OPTIONS: -javaagent:/usr/share/java/jayatanaag.jar 
Picked up _JAVA_OPTIONS: -Dawt.useSystemAAFontSettings=lcd                       -Dswing.aatext=true                       -Dsun.java2d.xrender=true
table tweets already exists
MB111
( "water shortages" )^5.0 OR ( water~0 shortag~0 )
Reading ../tmp/cache_2013/a11baea54626b7cd309c45e6804663760273fba1.
Read 10000 results.
MB111 308328643183116288 1 49.749203 qlbaseline 1362346251
MB111 313518284903428096 2 49.426357 qlbaseline 1363583558
MB111 311997228929671169 3 49.403023 qlbaseline 1363220910
MB111 304942459945902081 4 49.403023 qlbaseline 1361538922
MB111 302081227379322881 5 49.403023 qlbaseline 1360856751
MB111 315141048538128384 6 49.367157 qlbaseline 1363970455
MB111 311122372625330177 7 49.367157 qlbaseline 1363012328
MB111 316450208240267264 8 49.367157 qlbaseline 1364282583
MB111 311366372070404096 9 49.367157 qlbaseline 1363070502
MB111 303425887691485186 10 49.367157 qlbaseline 1361177343
MB111 309721244406775808 11 49.307903 qlbaseline 1362678273
MB111 298248187163078658 12 48.857719 qlbaseline 1359942883
MB111 304214995657424896 13 48.842819 qlbaseline 1361365481
MB111 297839498384011264 14 48.842819 qlbaseline 1359845444
MB111 308995814351589376 15 48.827850 qlbaseline 1362505317
MB111 312769601626861568 16 48.827850 qlbaseline 1363405058
MB111 299943168328204288 17 48.827850 qlbaseline 1360346998
MB111 306328656442175488 18 48.827850 qlbaseline 1361869417
MB111 298496456422195202 19 48.827850 qlbaseline 1360002075
MB111 299220175197175809 20 48.827850 qlbaseline 1360174623
MB111 316970494857474048 21 48.800346 qlbaseline 1364406629
MB111 307845463548239872 22 48.800346 qlbaseline 1362231052
MB111 304981949284483072 23 48.800346 qlbaseline 1361548337
MB111 313628192432877568 24 48.800346 qlbaseline 1363609762
MB111 299061303312527362 25 48.800346 qlbaseline 1360136745
MB111 297621654639628290 26 48.800346 qlbaseline 1359793506
MB111 310350268342628352 27 48.800346 qlbaseline 1362828244
MB111 317133758170005505 28 48.800346 qlbaseline 1364445554
MB111 297893684601552897 29 48.800346 qlbaseline 1359858363
MB111 301194140459339776 30 48.800346 qlbaseline 1360645253
MB111 314369808286220289 31 48.800346 qlbaseline 1363786577
MB111 303955573752352768 32 48.800346 qlbaseline 1361303630
MB111 298610411467571200 33 48.800346 qlbaseline 1360029244
MB111 312173519712681985 34 48.800346 qlbaseline 1363262941
MB111 312522984931864576 35 48.800346 qlbaseline 1363346260
MB111 305644376699330560 36 48.777008 qlbaseline 1361706272
MB111 316241059262894081 37 48.777008 qlbaseline 1364232718
MB111 310533400039677954 38 48.777008 qlbaseline 1362871906
MB111 299538820657979392 39 48.777008 qlbaseline 1360250594
MB111 303208421430284288 40 48.777008 qlbaseline 1361125495
MB111 311165301326745600 41 48.777008 qlbaseline 1363022563
MB111 302132800520351744 42 48.777008 qlbaseline 1360869047
MB111 306745398263963649 43 48.777008 qlbaseline 1361968776
MB111 313184640590561280 44 48.741142 qlbaseline 1363504011
MB111 309267261296898048 45 48.741142 qlbaseline 1362570035
MB111 297390946931314688 46 48.741142 qlbaseline 1359738501
MB111 309254011490537472 47 48.741142 qlbaseline 1362566876
MB111 307382861177188352 48 48.741142 qlbaseline 1362120759
MB111 303467738469376001 49 48.741142 qlbaseline 1361187321
MB111 315539356397998080 50 48.741142 qlbaseline 1364065419
MB111 311234582806667266 51 48.741142 qlbaseline 1363039081
MB111 316252258054578176 52 48.741142 qlbaseline 1364235388
MB111 309818971681611777 53 48.741142 qlbaseline 1362701573
MB111 297186566869237760 54 48.741142 qlbaseline 1359689773
MB111 312185154703613953 55 48.741142 qlbaseline 1363265715
MB111 303139471229079552 56 48.741142 qlbaseline 1361109056
MB111 303141320925519872 57 48.741142 qlbaseline 1361109497
MB111 312622738059689984 58 48.741142 qlbaseline 1363370043
MB111 303668314276773888 59 48.681889 qlbaseline 1361235142
MB111 315104386110083072 60 8.749537 qlbaseline 1363961714
MB111 315116570554818561 61 8.749537 qlbaseline 1363964619
MB111 298244286468726788 62 8.140470 qlbaseline 1359941953
MB111 309163758461284352 63 8.137976 qlbaseline 1362545358
MB111 311636044846100480 64 8.137976 qlbaseline 1363134797
MB111 307922412262019072 65 8.137976 qlbaseline 1362249398
MB111 299040445047136256 66 8.137976 qlbaseline 1360131772
MB111 302305282908880897 67 8.137976 qlbaseline 1360910170
MB111 302084356346896385 68 8.133391 qlbaseline 1360857497
MB111 298142306140315649 69 8.133391 qlbaseline 1359917639
MB111 300739360456847360 70 8.129501 qlbaseline 1360536825
MB111 316938639122767872 71 8.129501 qlbaseline 1364399034
MB111 306847328277499905 72 8.129501 qlbaseline 1361993078
MB111 307193719042494464 73 8.129501 qlbaseline 1362075664
MB111 301449896530153473 74 8.129501 qlbaseline 1360706230
MB111 301106945065119744 75 8.123524 qlbaseline 1360624464
MB111 298874463880089600 76 8.123524 qlbaseline 1360092199
MB111 313837534348201985 77 8.123524 qlbaseline 1363659673
MB111 315211919676039168 78 8.123524 qlbaseline 1363987352
MB111 315121515651801088 79 8.123524 qlbaseline 1363965798
MB111 313602527499276289 80 8.113648 qlbaseline 1363603643
MB111 302483440161402880 81 8.113648 qlbaseline 1360952646
MB111 311781788504715264 82 8.113648 qlbaseline 1363169545
MB111 308779207918493696 83 8.113648 qlbaseline 1362453674
MB111 299578565891080192 84 6.794049 qlbaseline 1360260070
MB111 309118678081880065 85 6.792801 qlbaseline 1362534610
MB111 315359492084744192 86 6.790509 qlbaseline 1364022536
MB111 313945965495197697 87 6.790509 qlbaseline 1363685525
MB111 304203910120353792 88 6.790509 qlbaseline 1361362838
MB111 316525617619279872 89 6.788565 qlbaseline 1364300562
MB111 316493422162739200 90 6.788565 qlbaseline 1364292886
MB111 303673263551303680 91 6.788565 qlbaseline 1361236322
MB111 314144335090286594 92 6.788565 qlbaseline 1363732820
MB111 303667219534061568 93 6.788565 qlbaseline 1361234881
MB111 306820476339113984 94 6.788565 qlbaseline 1361986676
MB111 300708523971592192 95 6.788565 qlbaseline 1360529473
MB111 302457376747954177 96 6.785575 qlbaseline 1360946432
MB111 301850922320003072 97 6.785575 qlbaseline 1360801842
MB111 298279157924761601 98 6.785575 qlbaseline 1359950267
MB111 297213175537991680 99 6.785575 qlbaseline 1359696117
MB111 309595935355322369 100 6.785575 qlbaseline 1362648397
MB111 304980212851044352 101 6.785575 qlbaseline 1361547923
MB111 300342675767447555 102 6.785575 qlbaseline 1360442248
MB111 314231597601787904 103 6.785575 qlbaseline 1363753625
